blind_id,review_text_sha256,char_count,text_file,review_order
Q11-0461,50d01fd8b4495fef221feb605299c61e89b9ddffee59c9449b0f0df5f288c1de,372,完整文本_30条/Q11-0461.txt,1
Q11-0681,c0078623d0429e0775e7cce2dc8f8991e78c81262b8479c08732fe8e24248577,34756,完整文本_30条/Q11-0681.txt,2
Q11-0150,eebe0fbe976e2d6330ff4728d9747d355972d2c6b2e07c548dafffc819efffd8,108211,完整文本_30条/Q11-0150.txt,3
Q11-0302,5f6e00ecc47be7fe788d4aaaa1f92370f94f7d006c6e0244828f8a341ede44d4,562,完整文本_30条/Q11-0302.txt,4
Q11-0352,cf48b5a7fd240fe320903f0c17f4a20d345e0996f4f02af94e5eb39d7f0ab318,797761,完整文本_30条/Q11-0352.txt,5
Q11-0312,989bd6c36c7f77d2727a48239cb0b3d68a9fe11050c7fa4d2c5470cc8c28a0e3,3720,完整文本_30条/Q11-0312.txt,6
Q11-0733,6f8d78dd6bc7fd0db3e0b1ea96b1f167c5b2a7703259baea3cb44f662ad13840,2371,完整文本_30条/Q11-0733.txt,7
Q11-0719,033de3e02a95c9cb6a843ae683308d1bb6f370d9e8407242d1e1206bf1bae337,17607,完整文本_30条/Q11-0719.txt,8
Q11-0174,27634e1bb0236c8735536d947622e1375825d517e067dd431dd0c47c5634ba73,3122,完整文本_30条/Q11-0174.txt,9
Q11-0391,040b7e65cf3cd98301eb4d1efde4e179fb9ee79f4023b90dc2b6206b91cb26f1,93204,完整文本_30条/Q11-0391.txt,10
Q11-0176,40dd3436f97b8b5049f51a43d2bd58ec643b75e0feabdb1d4bc582de6daa4ea5,89225,完整文本_30条/Q11-0176.txt,11
Q11-0694,b769406746b91e8bd5188d7fc05d3f7eb44f5ba219102f20808b204b8087d7ba,9481,完整文本_30条/Q11-0694.txt,12
Q11-0697,1098b09eee43f619aa8bc06dfcfb09e8928af843b356684efb963a5e2a86f7ac,248,完整文本_30条/Q11-0697.txt,13
Q11-0576,ba917cd05ce96fc035450d6a5778fc555cae7b967674517b279f42274668fc83,9721,完整文本_30条/Q11-0576.txt,14
Q11-0066,e68bd9c83adfc69733cff21937788979abe589f19a5b1173632a23d7484dd013,7005,完整文本_30条/Q11-0066.txt,15
Q11-0270,a3e157ce221dfc3b97df8e982e25fc0de1321d18b7e545fa28f5364a1db7d122,607974,完整文本_30条/Q11-0270.txt,16
Q11-0666,6bbc6c18ad36336acb42abdd7b7add56681ca96d6a3e82ba884b596539d27502,152,完整文本_30条/Q11-0666.txt,17
Q11-0053,2c191fb87f4cedf63c05353f77d2cc734e7ae4e58c71efa436232a76a08342e9,158271,完整文本_30条/Q11-0053.txt,18
Q11-0145,82eff3d5dd0b4257c25934468c7f2a4001ed6af045189beededab36f5faa4135,48072,完整文本_30条/Q11-0145.txt,19
Q11-0115,d16779f41e7689796df37156d7eb85db59a92bb0d46a0f2083f1bdf9c3b5f5a5,68845,完整文本_30条/Q11-0115.txt,20
Q11-0128,74a18bdcfb55711616dbbf73820da10e57e276f2b9e49e9395717dfa03c0c9cb,957066,完整文本_30条/Q11-0128.txt,21
Q11-0580,519eeabbcd27a4d4bfe8a725ede42ea9161e9fd502a212f1243f0b1be5ce69f9,1736,完整文本_30条/Q11-0580.txt,22
Q11-0299,331e57b2e49578ff0b9a0c380468c034b5cf9901409df0ea8991470c24dc0054,2674,完整文本_30条/Q11-0299.txt,23
Q11-0550,e4cb6eae900f86ebb4a6bafac2e7ab3cc0e34d182d22e03e6bae6bda6e6e16a9,22989,完整文本_30条/Q11-0550.txt,24
Q11-0738,f8d0e620b94eb10460d4cfe1be6d2cf7154f400f0f0b8b89d57cfa1a3010cf56,1535,完整文本_30条/Q11-0738.txt,25
Q11-0218,5abea7bec187ccdd519c9c2de02af3dd8cc521d142f48bbcca5b85dde0066ce0,1308,完整文本_30条/Q11-0218.txt,26
Q11-0583,e6b5d6465259d028f9e82155964d7006e62ef92a39f15d0d133ab3c173e15ab5,15152,完整文本_30条/Q11-0583.txt,27
Q11-0495,1d38dcad88f5430f0fc0d5eb1278e775fe3bed2637181a98ef5315bc8413e540,25786,完整文本_30条/Q11-0495.txt,28
Q11-0267,ea819eb406ff1a0931440d8d65556c0685cff189defb2ebaae4b178f04491832,20840,完整文本_30条/Q11-0267.txt,29
Q11-0213,655ecc997d227aba504cd317cc65b8c09057d9ccdd579771efa110b51823b00b,36970,完整文本_30条/Q11-0213.txt,30
