model_name_raw,family,task_count,family_score_raw,family_score_percentile_0_100,expected_task_count,family_complete,version,metric
0-hero/Matter-0.2-7B-DPO,ARC,0,,,1,False,1.0,acc_norm
0-hero/Matter-0.2-7B-DPO,BBH,24,0.3596254301656297,24.492624152464725,24,True,0.0,acc_norm
0-hero/Matter-0.2-7B-DPO,GPQA,3,0.26033283845783844,20.54178145087236,3,True,1.0,acc_norm
0-hero/Matter-0.2-7B-DPO,IFEval,1,0.3980815347721823,35.06887052341598,1,True,2.0,inst_level_strict_acc
0-hero/Matter-0.2-7B-DPO,MATH-Hard,0,,,7,False,2.0,exact_match
0-hero/Matter-0.2-7B-DPO,MMLU-Pro,1,0.1163563829787234,7.190082644628099,1,True,0.1,acc
0-hero/Matter-0.2-7B-DPO,MuSR,3,0.381375,40.51423324150597,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B,ARC,1,0.6723549488054608,87.95180722891565,1,True,1.0,acc_norm
01-ai/Yi-1.5-34B,BBH,24,0.5976391706360017,73.75962067069818,24,True,0.0,acc_norm
01-ai/Yi-1.5-34B,GPQA,3,0.37405360842860835,92.86501377410468,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B,IFEval,1,0.3501199040767386,30.0,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-34B,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-34B,MMLU-Pro,1,0.4665890957446808,87.05234159779614,1,True,0.1,acc
01-ai/Yi-1.5-34B,MuSR,3,0.4236041666666667,65.17906336088154,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B-32K,ARC,1,0.6629692832764505,84.33734939759037,1,True,1.0,acc_norm
01-ai/Yi-1.5-34B-32K,BBH,24,0.6015685776542417,76.56679494227598,24,True,0.0,acc_norm
01-ai/Yi-1.5-34B-32K,GPQA,3,0.3734332796832797,92.35078053259872,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B-32K,IFEval,1,0.3705035971223021,32.5068870523416,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-34B-32K,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-34B-32K,MMLU-Pro,1,0.4709109042553192,87.35537190082646,1,True,0.1,acc
01-ai/Yi-1.5-34B-32K,MuSR,3,0.4398229166666667,73.9485766758494,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B-Chat,ARC,1,0.6757679180887372,90.36144578313254,1,True,1.0,acc_norm
01-ai/Yi-1.5-34B-Chat,BBH,24,0.6083748310271819,80.32687374015028,24,True,0.0,acc_norm
01-ai/Yi-1.5-34B-Chat,GPQA,3,0.3661991943241943,92.36914600550965,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B-Chat,IFEval,1,0.6606714628297362,71.12947658402203,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-34B-Chat,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-34B-Chat,MMLU-Pro,1,0.4520445478723404,85.34435261707989,1,True,0.1,acc
01-ai/Yi-1.5-34B-Chat,MuSR,3,0.4281979166666667,70.89990817263545,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B-Chat-16K,ARC,0,,,1,False,1.0,acc_norm
01-ai/Yi-1.5-34B-Chat-16K,BBH,24,0.6100218256499572,79.91226864577607,24,True,0.0,acc_norm
01-ai/Yi-1.5-34B-Chat-16K,GPQA,3,0.3469395188145188,85.34435261707989,3,True,1.0,acc_norm
01-ai/Yi-1.5-34B-Chat-16K,IFEval,1,0.5191846522781774,51.76308539944904,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-34B-Chat-16K,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-34B-Chat-16K,MMLU-Pro,1,0.4544547872340425,85.73002754820936,1,True,0.1,acc
01-ai/Yi-1.5-34B-Chat-16K,MuSR,3,0.43976041666666665,70.68870523415978,3,True,1.0,acc_norm
01-ai/Yi-1.5-6B,ARC,1,0.5699658703071673,41.566265060240966,1,True,1.0,acc_norm
01-ai/Yi-1.5-6B,BBH,24,0.4488346218753918,40.735523181235116,24,True,0.0,acc_norm
01-ai/Yi-1.5-6B,GPQA,3,0.30804149554149546,64.01285583103765,3,True,1.0,acc_norm
01-ai/Yi-1.5-6B,IFEval,1,0.302158273381295,20.19283746556474,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-6B,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-6B,MMLU-Pro,1,0.3100897606382978,41.98347107438016,1,True,0.1,acc
01-ai/Yi-1.5-6B,MuSR,3,0.43873958333333335,65.2892561983471,3,True,1.0,acc_norm
01-ai/Yi-1.5-6B-Chat,ARC,1,0.5921501706484642,55.42168674698795,1,True,1.0,acc_norm
01-ai/Yi-1.5-6B-Chat,BBH,24,0.4554861043778055,43.34112149532711,24,True,0.0,acc_norm
01-ai/Yi-1.5-6B-Chat,GPQA,3,0.3202173983423983,71.47842056932966,3,True,1.0,acc_norm
01-ai/Yi-1.5-6B-Chat,IFEval,1,0.5371702637889688,53.80165289256198,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-6B-Chat,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-6B-Chat,MMLU-Pro,1,0.3197307180851064,45.09641873278237,1,True,0.1,acc
01-ai/Yi-1.5-6B-Chat,MuSR,3,0.44323958333333335,58.71441689623507,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B,ARC,1,0.6151877133105802,70.48192771084338,1,True,1.0,acc_norm
01-ai/Yi-1.5-9B,BBH,24,0.514294179104191,54.680914421843504,24,True,0.0,acc_norm
01-ai/Yi-1.5-9B,GPQA,3,0.3883760915010915,95.63820018365475,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B,IFEval,1,0.356115107913669,30.798898071625345,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-9B,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-9B,MMLU-Pro,1,0.3916223404255319,73.38842975206612,1,True,0.1,acc
01-ai/Yi-1.5-9B,MuSR,3,0.43278124999999995,63.728191000918265,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B-32K,ARC,1,0.6109215017064846,64.45783132530121,1,True,1.0,acc_norm
01-ai/Yi-1.5-9B-32K,BBH,24,0.496332115988265,50.63565145684442,24,True,0.0,acc_norm
01-ai/Yi-1.5-9B-32K,GPQA,3,0.3688978845228845,91.12029384756657,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B-32K,IFEval,1,0.2757793764988009,13.69146005509642,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-9B-32K,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-9B-32K,MMLU-Pro,1,0.3764960106382978,66.00550964187329,1,True,0.1,acc
01-ai/Yi-1.5-9B-32K,MuSR,3,0.4186145833333333,64.06795224977043,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B-Chat,ARC,1,0.6126279863481229,66.86746987951807,1,True,1.0,acc_norm
01-ai/Yi-1.5-9B-Chat,BBH,24,0.555906430281685,68.58163826278175,24,True,0.0,acc_norm
01-ai/Yi-1.5-9B-Chat,GPQA,3,0.3348405067155067,80.41322314049587,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B-Chat,IFEval,1,0.658273381294964,70.85399449035813,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-9B-Chat,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-9B-Chat,MMLU-Pro,1,0.3975232712765957,74.84848484848486,1,True,0.1,acc
01-ai/Yi-1.5-9B-Chat,MuSR,3,0.42590625,66.39118457300275,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B-Chat-16K,ARC,1,0.6083617747440273,62.048192771084345,1,True,1.0,acc_norm
01-ai/Yi-1.5-9B-Chat-16K,BBH,24,0.5153383364651778,50.464999083745646,24,True,0.0,acc_norm
01-ai/Yi-1.5-9B-Chat-16K,GPQA,3,0.3128387815887816,66.4279155188246,3,True,1.0,acc_norm
01-ai/Yi-1.5-9B-Chat-16K,IFEval,1,0.4916067146282973,46.942148760330575,1,True,2.0,inst_level_strict_acc
01-ai/Yi-1.5-9B-Chat-16K,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-1.5-9B-Chat-16K,MMLU-Pro,1,0.3993517287234042,75.37190082644628,1,True,0.1,acc
01-ai/Yi-1.5-9B-Chat-16K,MuSR,3,0.40990624999999997,56.42791551882461,3,True,1.0,acc_norm
01-ai/Yi-34B,ARC,1,0.6459044368600683,78.91566265060241,1,True,1.0,acc_norm
01-ai/Yi-34B,BBH,24,0.5457099951794562,61.38675096206706,24,True,0.0,acc_norm
01-ai/Yi-34B,GPQA,3,0.36527419339919337,91.58861340679522,3,True,1.0,acc_norm
01-ai/Yi-34B,IFEval,1,0.3633093525179856,31.46005509641873,1,True,2.0,inst_level_strict_acc
01-ai/Yi-34B,MATH-Hard,0,,,7,False,2.0,exact_match
01-ai/Yi-34B,MMLU-Pro,1,0.441156914893617,83.63636363636363,1,True,0.1,acc
01-ai/Yi-34B,MuSR,3,0.4118541666666667,60.54178145087236,3,True,1.0,acc_norm
01-ai/Yi-34B-200K,ARC,1,0.6663822525597269,85.54216867469879,1,True,1.0,acc_norm
01-ai/Yi-34B-200K,BBH,24,0.5441817925289528,64.42413413963716,24,True,0.0,acc_norm
